id,event_name,genre,segment,address,city,local_date,local_time,url
1,Anjelika Akbar 'Ahenk' Konseri,Classical,Music,Mithatpaşa Cad. No: 1087,İzmir,2024-03-05,20:00:00,https://www.biletix.com/performance/3AES1/001/TURKIYE/tr
2,Ahmet Aslan - Solo Konser,World,Music,Mithatpaşa Cad. No:447 Şehitlik Kavşağı,İzmir,2024-03-04,20:30:00,https://www.biletix.com/performance/3DP07/001/TURKIYE/tr
3,3 Basses ve Meltem Cumbul - Kadınlar Günü Özel Konseri,,Music,Mithatpaşa Cad. No: 1087,İzmir,2024-03-04,20:00:00,https://www.biletix.com/performance/3PSI1/001/TURKIYE/tr
4,Batuflex,Hip-Hop/Rap,Music,Fevzi çakmak cad. 25b 35040,İzmir,2024-03-05,22:00:00,https://www.biletix.com/performance/3OMR5/001/TURKIYE/tr
5,5. Karşıyaka Türki Festivali - Cem Adrian,World,Music,"Cemal Gürsel Cad. Hasan Ali Yücel Blv., 2009. Sk.",İzmir,2024-03-04,20:30:00,https://www.biletix.com/performance/3RG07/001/TURKIYE/tr
6,5.Karşıyaka Türkü Festivali - Kardeş Türküler,Folk,Music,"Cemal Gürsel Cad. Hasan Ali Yücel Blv., 2009. Sk.",İzmir,2024-03-05,20:30:00,https://www.biletix.com/performance/3RG08/001/TURKIYE/tr
7,Kamp 17,Theatre,Arts & Theatre,"Mithatpaşa Cad. No:9 SSK Blokları E-1 Blok, Konak YKM",İzmir,2024-03-06,20:00:00,https://www.biletix.com/performance/3ZM48/001/TURKIYE/tr
8,Baturay Özdemir - Stand Up,Comedy,Arts & Theatre,"Cemal Gürsel Cad. Hasan Ali Yücel Blv., 2009. Sk.",İzmir,2024-03-06,21:00:00,https://www.biletix.com/performance/3BO25/001/TURKIYE/tr
9,Sera Savaş - Albüm Lansman,Pop,Music,"Alsancak, Atatürk Cd. No:332/A, 35220 Konak",İzmir,2024-03-06,21:00:00,https://www.biletix.com/performance/3CF06/001/TURKIYE/tr
10,Tut Elimden Rovni,Theatre,Arts & Theatre,"Akdeniz, Şht. Fethi Bey Cd. No:33",İzmir,2024-03-07,20:00:00,https://www.biletix.com/performance/3ZM46/001/TURKIYE/tr
11,Ella Fitzgerald Gecesi,Jazz,Music,Mithatpaşa Cad. No: 1087,İzmir,2024-03-07,20:30:00,https://www.biletix.com/performance/3IV01/001/TURKIYE/tr
12,100% Music Sunar: Jimi Hendrix Show,Rock,Music,"Mavişehir MaviBahçe AVM, A Blok, Kat:3, No:304",İzmir,2024-03-07,20:00:00,https://www.biletix.com/performance/3RG0E/001/TURKIYE/tr
13,İkisinin İkisi,Theatre,Arts & Theatre,"Mithatpaşa Cad. No:9 SSK Blokları E-1 Blok, Konak YKM",İzmir,2024-03-08,20:00:00,https://www.biletix.com/performance/3ZM52/001/TURKIYE/tr
14,Charlie Cunningham,Folk,Music,"Üniversite Cd. No: 92, Sanayi Metro Durağı, Bornova",İzmir,2024-03-08,22:00:00,https://www.biletix.com/performance/3EP05/001/TURKIYE/tr
15,Emir Taha Akustik,R&B,Music,"Erzene, Fevzi Çakmak Cd. No:49, 35040",İzmir,2024-03-08,21:30:00,https://www.biletix.com/performance/3BOD8/001/TURKIYE/tr
16,İzmir Tattoo Fest – Anıl Piyancı,Hip-Hop/Rap,Music,"Zafer Mahallesi, 840 Sk. Fuar Alanı No:2, 35410 Gaziemir",İzmir,2024-03-08,21:30:00,https://www.biletix.com/performance/3PTM2/001/TURKIYE/tr
17,DJ Ali Taş ile 90 lar 2000 ler Pop Gecesi,Pop,Music,Çınarlı Mahallesi Ozan Abay Caddesi no:8/201 kat:2 Ege Perla Avm Konak / İzmir,İzmir,2024-03-08,22:00:00,https://www.biletix.com/performance/3OA55/001/TURKIYE/tr
18,Sıla,Rock,Music,"Yalı, 6522. Sk. No:3, 35550",İzmir,2024-03-08,22:00:00,https://www.biletix.com/performance/3L647/001/TURKIYE/tr
19,Onur Özdemir - Sakin Tribute,Alternative,Music,Fevzi çakmak cad. 25b 35040,İzmir,2024-03-08,22:00:00,https://www.biletix.com/performance/3SC54/001/TURKIYE/tr
20,İkisinin İkisi,Theatre,Arts & Theatre,"Mithatpaşa Cad. No:9 SSK Blokları E-1 Blok, Konak YKM",İzmir,2024-03-09,20:00:00,https://www.biletix.com/performance/3ZM53/001/TURKIYE/tr
